Compound,Tc
Mn2Ga0.5Sn0.5,262.0
Mn1.2Ga0.5Sn0.5,305.0
Mn1.7Ga0.5Sn0.5,283.0
Mn1.5Ga0.5Sn0.5,284.0
CoSiB,443.0
BaLa2CuO5,5.2
AlCrFe2,279.5
VTeSe,420.0
VTeS,310.0
VSeS,320.0
Sm2(FeCo)17,1150.5
PrSi2,11.5
Pr3Si5,11.5
Pr3Si4,102.5
PrSi,52.5
Pr5Si4,39.0
Pr5Si3,43.0
Gd5Si3Sb,164.0
Gd5Si3.5Sb0.5,336.0
Gd5SiSb3,295.0
Sr0.5Nd0.5Mn1O3,251.5
Cr2CoO4,96.5
UIr,46.0
Sr2CrReO6,622.5
NdCoSiH,20.5
CrI2,300.0
Ce2Pr2Fe14B,486.0
FeCoSiB,673.0
LaFeMoO6,500.0
Pr2Fe17,289.0
MnAlCu2,610.0
La2MnNiO6,277.5
Y3Co13B2,636.0
MnAlVCo,105.0
Mn2Al1V0.5Co0.5,671.0
Mn2CoSb,485.0
Ca0.3La0.7Mn1O3,250.0
Pr2Fe14B,570.0
La2Fe14B,523.0
Fe2P,225.0
Mn(FeO2)2,561.5
Ce5CoGe2,11.0
TiCrCF2,1132.9
Sm2Zr17Fe17(CoCu)17,1123.0
Gd5(SiGe)2,276.0
Mg(FeO2)2,695.0
ZnCo3C,5.0
ZnFe3C,358.0
Ca2CrReO6,360.0
LaFeCoSi,290.25
Fe5B2P,655.0
ThFe11C,419.0
ZrFe2,470.5
Zr3Fe7,215.5
Zr5.8Nb1Fe85.4Cu1B6.8,354.0
Zr6.8Fe85.4Cu1B6.8,368.0
GdZn2,76.5
NdZn2,24.0
UGeRh,9.5
Gd39Dy17(Al6Co5)4,76.0
Gd21Dy7(Al6Co5)2,81.5
CrO2,391.0
PrCoO3,65.0
LaCoO3,82.5
CaMn4(CuO4)3,355.0
LuMn4(CuO4)3,398.0
Dy3Co2.2Si1.8,75.0
Sr0.25La0.75Mn1O3,336.0
Ca0.25La0.75Mn1O3,223.0
Mn5Sn3,219.0
Mn4FeSn5,190.0
Fe5Sn3,544.0
SrFe12O19,740.0
Gd0.95Er0.05,284.7
Gd0.95Dy0.05,287.5
MnNi2Sn,340.0
Ho26Ga8Co9,16.0
Dy26Ga8Co9,28.0
Tb26Ga9Co8,74.0
Tb26Ga11Co6,124.0
Gd26Ga8Co9,76.0
Zr2Fe22B,280.0
Nd3Al,74.0
FeTe2,286.5
LaMnO3,140.0
Sr0.2La0.8Co1O3,180.0
Er(FeGe)6,3.0
Gd(FeSn)6,45.0
Sr0.34La0.66Mn1O3,370.0
Sr2Fe1Mo1N0.666O5.334,300.0
LaCo5,833.0
Nd7Ni3,14.0
Gd30Al7Co13,118.5
Mn13Ga7,680.0
Ho5Si4,76.0
DyNi,59.0
Gd(CrFe5)2,582.5
FePt3,402.5
Nd2Fe14C,540.5
MnAlCo2,742.0
Nb23Fe23B6,900.0
Fe2B,1013.0
MnSi,43.0
TiCo2Sn,362.5
TiCo2Ge,380.0
Mn48.835Al48.835C2.33,590.0
CrFe7SiB,403.0
Sm0.9Zr0.1Ti1Fe11,345.0
SmTiFe11,584.0
CeAlNi,2.0
CeNiSb,4.625
Zn0.98Fe0.02O1,300.0
V2(FeCo)49,1253.0
GaFeCo2,1100.0
Pr6Fe13Si,398.0
NiCl2,116.0
NiBr2,173.0
Ba0.33La0.67Mn1O3,344.0
Co3O4,37.5
GdSiNi4,25.0
GdNi5,33.0
DySiNi4,22.0
Ti0.95Fe2.05Sn1,120.0
UFe2,170.75
U2Fe3Ge,55.0
MnGaCo2,738.0
MnCo2Ge,917.5
MnCo2Si,1000.0
La1Fe11.2Co0.7Si1.1,274.0
La1Fe11.4Si1.6,202.0
ErCoC,10.0
TbCoC,22.0
MnZnAs,230.0
U2Ni12P7,29.0
U(Ni2P)2,21.0
MnAlCoNi,583.0
MnCoSiRh,928.0
CrFeCoSb,360.0
CrFeCoAs,378.0
TiAlCrRh,358.0
Fe78.5Si6Ni1B14Mo0.5,635.0
Fe76.2Si6Ni3.8B14,665.0
Fe40Si3B7,649.0
La(FeSi)13,200.0
Ca0.33La0.67Mn0.98O3,264.0
La7Pr0.3Fe10.4Co0.8Si1.8,290.0
La7Pr0.3Fe11.2Si1.8,203.0
La1Fe11.2Si1.8,216.0
PrGa3Cu,4.6
Sr0.4Pr0.6Mn1O3,306.0
Sm2Fe17N3,745.5
LiFe5O8,864.0
La6InCo13,490.0
FePd,753.0
CoS2,121.0
Dy2(FeMo)17,77.0
EuS,16.6
ZrCo5,776.5
Mn0.06Ge0.94,285.0
Mn0.03Co0.12Ge0.85,270.0
Fe0.05Ge0.95,233.0
MnP,290.0
HoTiCo11,983.0
Sm(MnGe)2,345.0
UTe,103.0
Sr0.2La0.8Mn1O3,312.5
MnFe4Si3,300.0
Fe5Si3,375.0
FeCuO4,698.0
Li0.5Fe2.5O4,948.0
Mn0.04Fe0.02Ge0.94,350.0
Eu2Ga3.4Ag13.6,70.3
EuGaAg4,72.3
Ho2In,100.0
Dy2In,125.0
FePt,750.0
Sm1Fe10Si1C0.5,460.0
Sm1Al0.22Fe1.78,600.0
Sm1Al0.3Fe2.7,590.0
Sm6Al3.22Fe19.78,480.0
Pr5Si3Ge,47.0
CeZn15O16,305.0
Cr7Te8,360.0
Cr12Te13,342.0
Cr5Te6,320.0
Cr5Te8,275.0
Cr2Te3,175.0
CrTe2,200.0
GaNiSb,78.0
MnGaSb,45.0
Sm10.5Fe89.5,409.0
MnFe2Si,217.0
CePRuO,15.0
CoSi,240.0
MnGaP,270.0
La1Al1.3Fe10.7523Co0.9477,311.4
UGe2,52.0
Fe47.4Si11Ni26.6B13C2,682.0
DyCr2Si2C,10.7
TbCr2Si2C,16.6
GdCr2Si2C,10.9
Er6CoNi3,11.5
UAlIr,64.0
UAlRh,27.5
Mn1.1Fe0.9Ge0.3P0.7,380.0
Mn1.1Fe0.9As0.3P0.7,150.0
Fe2CuO4,673.0
Nd2Fe10Co4B,800.0
LiMnZnAs,55.0
TiFeSi2,917.0
TiFeSi,728.0
Sr0.3La0.7Mn1O3,355.0
Mn(SbTe2)2,47.5
NdTiFe11,547.0
NdFe7,458.0
Nd2Fe17,329.0
Gd13Fe7,273.0
Dy13Fe7,45.0
Er13Fe7,40.0
Gd3Co,136.5
Tb3Al2,133.5
MnSnTePb,150.0
Mn0.07In0.5Ga0.5,110.0
MnInNi2,314.0
Mn2NiSb,647.0
Mn2NiSn,547.5
GdInPd,101.75
ErAl7Fe5,201.0
FePS3,115.0
Fe5GeTe2,300.0
La0.9Ce0.1Fe11.7Si1.3H2.2,345.0
HfFe2,605.0
Ho2Fe14Si3,240.6
Ho2Fe17,340.0
Er1Co4.5Ge0.5,785.0
CoPt,847.5
Y2NbFe13B4,364.0
Y9HfNb5(Fe13B4)5,360.0
GdNi,72.0
Gd3Ni2,99.0
Gd3Ni,120.5
Gd3Co11B4,457.0
Pr3Co11B4,389.0
Mn7Sn4,220.0
V6.15Ni93.85,318.0
Cr(GaSb)2,548.5
Mn(GaSb)2,310.0
SmCuNi3B,60.0
SmCoNi3B,90.0
SmFeNi3B,320.0
SmMnNi3B,205.0
SmNi4B,39.5
V2Fe3,170.0
Sr2CoO4,252.5
Tb0.27Dy0.73Al2,74.0
TbAl2,105.0
Gd3Fe,244.0
MnFeCoSi,747.0
Mn0.3Ge0.7,300.0
Ca0.3La0.7Mn0.95Ni0.05O3,255.0
Ca0.3La0.7Mn0.97Ni0.03O3,270.0
Ca0.3La0.7Mn0.99Ni0.01O3,280.0
ErCo2,33.0
Er1Mn0.6Co2,212.0
ErMnCo2,222.0
Mn0.65Zn0.35Fe2O4,463.0
Cr3C2,138.0
Mn(CrS2)2,66.0
Cr2Ga0.67S4,56.0
Tm2CdCu2,15.0
Er2CdCu2,36.0
Dy2CdCu2,48.5
Gd2CdCu2,120.0
Tm2InCu2,30.8
Er2InCu2,39.4
CeGaGe,5.5
Nd8.5Zr2.7Ga0.6Fe77Co5B6.2,595.0
Ba2SmNb4FeO15,403.0
Co2Pt3,755.0
Gd0.965Er0.035,288.2
Fe3RhN,505.0
GdN,61.0
Er2Ti3Si4,7.0
Tb2Ti3Si4,16.0
Gd2Ti3Si4,18.0
Nd2Si3Pt,17.5
CeAlPt,5.6
Ce1Al1H1.1Pt1,11.6
MgCo2,321.0
TaFeCoB,583.0
FeCoSiNiBMo,491.0
Eu3Si11Pt23,5.5
FeNi3,863.0
U2Co15Ge2,645.0
Lu2MnCoO6,48.0
NiGeRh2,113.0
Dy3(FeMo)29,408.0
Tb3(FeMo)29,437.0
Mn21.8Ga21.8Ni56.4,360.0
Ca0.33La0.603Dy0.067Mn1O3,176.0
GdAlGe,21.0
GdAl2,167.5
CsMnI3,90.0
Gd10Co9Si,214.0
Gd25Co24Si,244.0
Mn1.2Sn1Ir1.8,342.0
Co2SiRu,491.0
TbFeNi4,280.0
TbCoNi4,60.0
Mn2AlCu,690.0
Sm1Ti1Fe9.9Co1.1,705.0
1La1Fe1.2Mo0.8O6,300.0
Fe4Bi2O9,250.0
Fe3S4,800.0
UGa2,125.0
TbAl7Fe5,242.0
Tb0.2La0.8Ni2,8.0
TbNi2,38.0
La0.8Dy0.2Ni2,6.2
DyNi2,23.9
La0.6Ho0.4Ni2,5.05
SmFe5,400.0
Ce(MnGe)2,320.0
Zn0.5Fe2Ni0.5O4,559.0
Gd3Al0.75Co3.25,161.0
Gd3Al0.5Co3.5,196.0
MnBiO3,101.0
Ca0.2La0.8Mn1O3,206.75
Fe54.6Co23.4Si1B3Mo1P10C7,783.0
Fe78SiB3MoP10C7,585.0
Zn(FeO2)2,334.0
Gd97In3,259.0
YFe2,545.0
Sr1Co1O2.5,150.0
FeSi,923.0
Ti2Cr2C3O2,720.6
VCr2(CO)2,77.0
V2Cr2C3O2,246.8
Sr33La0.67Mn1O3,370.0
Sr0.25Ca0.25Nd0.5Mn1O3,174.0
SmVFe11,634.5
TbPr7Fe28Co10BC3,736.0
TbPr7Fe38BC3,589.0
Ba0.3La0.6Pr0.1Mn1O3,215.0
Nb4Fe74Si13B9,568.0
Fe78Si13B9,664.0
Y2Fe14B,565.0
Fe87B13,488.0
NdCo9Si4,536.0
SmFe7,516.5
Cr2HgSe4,110.0
Fe3Ni2,620.0
Tb2Co17,1190.0
Na0.1Nd0.9Mn1O3,112.0
Nd(Co2B)6,157.5
Pr(Co2B)6,157.0
Ce(Co2B)6,130.0
Zn0.2Fe2Ni0.8O4,758.0
V(GeP2)2,90.0
VSnGeP4,110.0
VGe2P3N,380.0
La2MnIrO6,130.0
CeB2Rh3,117.5
La1Fe11.57Si1.43,190.0
Co0.1Pd0.9,350.0
Co0.08Pd0.92,315.0
Co0.04Pd0.96,220.0
UCuSb2,110.0
Fe2O3,850.0
Sr0.35La0.65Mn1O3,372.5
MnB6I,470.0
MnB,456.0
Y4Co31B15,211.0
Sr0.19La0.81Mn1O3,302.0
Ca2CrOsO6,490.0
Ba2NiOsO6,108.0
Y(Co2B)6,150.0
Mn2CuO4,90.0
Gd1Mn0.4Ni2,190.0
GdNi2,78.5
Gd1Mn0.5Ni2,230.0
PuNi3,183.0
Gd0.6Ho0.4Co2,300.0
Er15(B2C7)2,50.0
Dy15(B2C7)2,120.0
Tb15(B2C7)2,145.0
ThCo4B,303.0
YCo4B,380.0
CrFe2Si,575.0
DyInPd,74.0
PrCo2,44.95
Zr2Co11,755.0
Sm3Ti1.943Fe27.057,486.0
TbAlNi4,23.0
DyAlNi4,11.0
ZnNi3N,300.0
Sr0.2Pr0.75Mn1Bi0.05O3,150.0
CrSb,350.0
SrCoO3,266.0
YFeO3,600.0
Ca0.33La0.62Y0.05Mn1O3,210.0
Sr0.2La0.77Y0.03Mn1O3,261.0
CrAs,400.0
Al0.5Cr1Fe1Co1Ni1,420.0
Al2CrFeCoNi,430.0
DyCo4,700.0
FeCo2Ge,981.0
TmFe2,550.0
Fe4Ni,961.0
Mn4N,738.0
Nd16Fe3B,72.0
MnPS3,37.5
Pr2Co7,600.0
Mn5Si3,250.0
MnSb,581.25
Mn1.25Sb1,450.5
Fe3C,482.0
HoAlAg,18.0
ErAlAg,14.0
MnAlCrFeCoNi,823.0
GeTe,190.0
CrFeSiRu,346.0
Gd1Nb0.6Fe11.4,597.0
Co3Sn3Se2,60.0
MnI3,720.0
MnF3,450.0
CuNi,317.5
Mn3P,550.0
Mn2GaNi,588.0
Pr1Fe0.5Co2.5,480.0
Na0.05Ca0.15La0.8Mn1O3,253.0
Mn7Ni10Sn3,334.0
PrCo5,1178.0
Sr1.8La1.2Mn2O7,130.0
U0.74Mo0.26H2.22,165.0
Sr0.33La0.47Gd0.2Mn1O3,270.0
Fe6W6N,75.0
Fe3W3N,110.0
Fe1.25Mo3Pt0.75N1,225.0
Mn2Sb,550.0
MnVGaCo,351.0
SmFe3,646.0
Sm2Fe17,408.5
SiNi2,200.0
Fe8N,815.0
Sm1.6Ho0.4Fe17H4,510.0
Sm1.6Ho0.4Fe17,388.0
CaFe16Cu2O27,683.0
Dy0.5Ho0.5Co2,109.5
Dy0.9Ho0.1Co2,130.0
Ho2TiMnO7,7.5
Sm2Cr2Fe11(Co2C)2,375.0
Y3(Fe31B7)2,473.0
Mn0.6Al0.4Zn0.4Fe1.6O4,332.4
Sm(TiFe)7,500.0
Sm3(TiFe)29,476.0
Fe1Co1Cu0.2Si0.2Ni1,887.0
CrGaFeCoNi,476.5
AlCrFeCoNi,353.5
MnCrFeCoNi,104.0
CrFeCoNi,85.0
GaFe3Te2,380.0
La2Nd2Fe23B3,649.0
UAlPt,46.0
Mn3Ga,735.0
Nd6Fe13Pd,173.0
Co2H3ClO3,10.5
BaMnF4,300.0
Tb(MnSn)6,423.0
Sr0.4La0.6Mn1O3,400.0
CrTe,340.0
Cr1Sb0.4Te0.6,250.0
Al1.2Fe2B2,272.0
Mn6Al4CoNi9,300.0
Cr1.1Fe1.9O4,557.0
Ga0.8Fe0.2Sb1,170.0
In0.8Fe0.2Sb1,190.0
GaFeSb,170.0
GaFeO3,200.0
GdBr2,269.5
GdCl2,224.0
GdI2,231.0
Gd(BN)2,335.0
EuSi2(NO)2,4.5
Eu2Si5N8,24.0
Eu2SiN3,13.0
Tm(CrFe5)2,466.0
CrFeCoNiPd2,503.0
La0.67Mn1Pb0.33O3,360.0
Mn0.8Ni2.2Ge1,151.0
Mn0.9Ni2.1Ge1,246.0
Ca0.12Nd0.88Mn1O2.98,82.0
Mn2AuN,1516.0
La1Al1.56Fe11.44H3.2,438.0
LaCoPO,43.0
La0.8Mn1Ag0.2O3,278.0
NdCu5,15.0
Sm2Co14B,1008.0
Sm2Co19B4,165.0
Fe2.9Sn0.1O4,300.0
Zn0.9Fe2.1O4,366.0
Zn0.75Fe2Ni0.25O4,340.0
NiPt,367.0
Cr0.01Ge0.99,126.0
LaCrO3,1.8
Ce2Co7,50.0
LaCeCo7,260.0
MnCuSb,51.0
MnNi2Sb,350.0
Tb37(Gd20Ga)3,297.0
Tb2Gd3,270.0
LiMn2Sb,1193.0
LiMn2As,1289.0
FeCoB,1149.0
FeCu3Ni,625.0
Fe3Au7,415.0
FeAu4,290.0
Fe19Ni81,833.0
Li1Mn1.5Ni0.5O4,145.5
Al1Fe1Co1Cu1Ni0.5,900.0
Nd5Fe17,504.0
ErFe3,552.0
UCu2,725.0
ZrAlNi,27.0
TbCo2,229.0
MnFe12Ni7,300.0
Gd71Co29,166.0
CeScSi,349.0
TbScGe,224.5
GdScGe,342.0
LaCo13,1297.0
Gd2Al,114.0
NdCo2,418.0
Gd0.67Zr0.33,60.0
Gd0.67Y0.33,70.0
Th2Ni17,599.0
Dy3(TiFe)29,438.0
Nd3(TiFe)29,460.0
La0.85Co1.68As2,99.4
TiCoSb,900.0
Mn1.04Sb0.98Rh0.98,338.0
MnSbRh,320.0
MnCo2Sn,982.5
Nd3(FeMo)29,395.0
Zn0.94Fe0.05Cu0.01O1,550.0
Sm0.99Gd0.01Al2,124.0
SmAl2,120.0
FeCoNi,1113.0
GdCuO3,760.0
PrGe2,19.0
Gd4Co3,215.0
Er3(AlNi3)2,7.7
Ho3(AlNi3)2,14.5
UCoGe,3.0
Fe3Se4,322.5
Ce0.12Ni1.88,40.0
TmNi2,13.5
ErNi2,18.5
Tm57Al25Cu18,4.9
Ho57Al25Cu18,22.2
GdTiFe11,614.0
Nb9Co66Cu(SiB)12,175.0
FeRh,655.0
Sm1Co6.1Si0.9,718.0
Th1Fe0.22Sn2,4.2
Th4Fe13Sn5,375.0
MnNi2Ge,300.0
Ce2.6Nd10.4Fe82B5,556.0
Mn5SiGe2,283.0
Mn4FeSiGe2,318.0
Hf6Co23,586.5
Gd15Al7Fe3,10.0
V1.35Fe1.65O4,295.0
YCo4Ge,502.0
Fe9Co16,1212.0
Fe67Co33,1258.0
Ce0.79Ta0.07Zn0.47Fe0.89Co3.77,800.0
Nd7Nb4Fe70B19,943.0
Fe3.5Co64.3Si16.5B11W4.7,473.0
CoS,404.0
HoN,15.0
Y(Co5Si)2,750.0
Tb1Fe5.8Co5W1.2,1003.0
Tb1Fe0.8W1.2,560.0
Mn44Fe5(Ni15Sn2)3,301.0
Hf6.5Fe15Co51B27.5,527.0
Zn0.7Fe2Co0.3O4,370.0
Zn0.54Cr0.6Fe1.4Co0.46O4,318.705
Zn0.6Fe2Co0.4O4,341.0
Zn0.63Fe2Co0.37O4,319.0
YbGePt,5.050000000000001
YbGePd,11.4
(CoSe)2,78.0
Fe75Si8Ni2B13C2,683.0
Tb6Co1.67Si3,182.0
Gd6Co1.67Si3,298.0
Gd6Si3Ni1.67,305.0
GdCo4Si,450.0
Ce2GeRh3,4.0
Tb0.9Gd0.1Ni1,68.0
Tb0.1Gd0.9Ni1,72.0
TmCrO4,18.0
ErCrO4,15.0
Ce17Nb0.5Ga0.5Fe76.5Cu0.5B6,421.8
Ce17(Fe13B)6,431.15
La0.9Mn1O3,295.0
La0.89Mn1O3,282.5
Dy(P3Os)4,2.0
Sm6Fe23,416.0
Fe2B0.7C0.3,698.0
Mn2AlV,760.0
GdCu4Ag,10.0
AlFeCo2,1000.0
Pr2Co14B,996.5
Pr2Co17,1174.0
Gd5Si4,335.5
Fe3Ge,697.5
NiO,525.0
AlCrCo2,334.0
Sm2Fe17C2.6,670.0
YCrO4,9.0
YMnFe,125.0
YMnFeH5,293.0
MnO3,80.0
Mn25Ga23Ni52,360.0
Al(FeB)2,297.0
Pr(GeRu)2,16.0
Ce3Co11B4,265.0
Ca0.7La0.3Mn2Ge2,80.0
La(MnGe)2,320.0
CrBr3,61.5
Fe3P,725.0
Fe1.75Co0.2Si0.2P0.8,480.0
Mn2Fe2GeP,430.0
Fe7Se8,382.0
TiFe,550.0
Zr(Fe5Si)2,598.0
Zr6Fe23,821.0
GdFe2Co2B,770.0
GdCo4B,505.0
Al0.04Zn0.85Ni0.11O1,300.0
La0.67Mn1Ag0.15Pb0.18O3,288.0
La0.67Mn1Ag0.1Pb0.23O3,316.0
In(FeO2)2,250.0
Nd(MnGe)2,334.0
Zn0.9Co0.1O1,750.0
Ti2FeSn,475.0
Ti2FeGe,354.0
U(GaFe)6,515.0
GdMgNi4,77.6
SmCrO4,3.5
Y1Fe10Si2N0.5,673.0
Sr0.75Gd0.25Fe12O19,736.0
BaMn2(ZnAs)2,230.0
Fe3Ni,950.0
Mn2GaPt,230.0
Mn2SnPd,411.0
Ho0.5Er0.5Co2,50.0
Ho0.9Er0.1Co2,72.0
Mn4Si7,43.5
GdAlRh,29.9
LaAlRh,3.7
PrAlRh,4.7
MnAlCoIr,400.0
UTeS,87.0
HoNi3,58.5
Tb6Fe23,586.0
TbFe2,697.0
MnGaCoNi,657.3
Mn1Ga1Fe0.5Co0.5Ni1,657.3
MnGaFeNi,321.8
Mn1Co0.25Sb1,325.0
Mn1Fe0.25Sb1,241.0
Mg1.37Ti0.37Fe1.26O4,319.0
Zn0.54Cr0.7Fe1.3Co0.46O4,317.0
YTiFe11,534.0
Ga19Fe81,970.0
Gd3Si2Ni,215.0
Zr7Fe43CuNi43B6,646.0
Zr7Fe86CuB6,337.0
MnCoSn,670.0
Sm0.5Gd0.5Co2,300.0
MnCoAs,350.0
Sm2Fe16Si1C2.7,660.0
Lu1Fe11.3W0.7,490.0
Dy1Fe11.3W0.7,533.0
Er1Fe11.3W0.7,506.0
Nd1Mn1.4Co0.6Ge2,100.0
Ho0.75Er0.25Ni2,12.3
Ho0.25Er0.75Ni2,8.0
Gd34(AlNi)33,38.0
Ca2FeReO6,540.0
Pr41Co9,540.7
PrGaSi,10.0
Ho7Rh3,22.0
Ho3Rh,25.0
Dy0.7Er0.3Co2,106.0
Sr0.4La0.6Co1O3,235.0
ErTiFe11H,563.0
ErTiFe11,515.0
Mn0.2Zn0.8Fe2O4,329.5
Nd2Fe14Co14B,582.5
Fe69Si31,780.0
Cr(FeO2)2,553.0
Mn3Fe3O4,570.0
FeNi,763.0
Ba1Sc0.6Fe11.4O19,638.0
Gd0.1Y0.9Fe2H3.35,310.0
MnBPbO4,30.3
Tm2Al3Cu,4.7
Dy2Al3Cu,24.5
Nd6AlFeCo2,488.0
Gd6FeBi2,350.0
Gd6CoTe2,220.0
SmFe12,707.0
Tb2Al3.14Fe13.86,475.0
Tb2Fe17,412.0
CeGeAu,10.0
Sr0.4Nd0.6Mn1O3,264.5
MnGaN,633.0
Cu27.5Ni72.5,318.0
