Compound,Tc
Ce3CoGe2,7.0
Ce2CoGe3,10.0
Gd0.86Dy0.14,276.25
Gd0.44Dy0.56,228.75
CrClO,112.0
CrOF,215.0
PrFeB,565.0
CePrNdFeB,505.0
Pr1Fe0.7Co1.1B0.2,326.0
Dy0.025Zn0.5Fe1.975Ni0.5O4,521.5799999999999
Fe2NiO4,849.0
MnGaAs,172.0
Mn1.1Fe0.9As0.54P0.46,287.0
CoBr,264.0
EuCu3Pd2,14.5
EuCu4Pd,24.5
EuCu5,57.0
TbCu4Pd,76.0
Ca0.3La0.1Pr0.6Mn1O3,94.0
ErFe2,590.0
Fe2Co2B,512.0
Ce2Fe14B,427.5
La0.6Ga0.4Fe1O3,350.0
Mn0.03Ga0.97N1,400.0
GdCo2,402.0
GdFe3,725.0
Sm3Ni2,110.0
SmNi,45.0
Sm3Ni,5.0
NbCoCuSiB,125.0
Tb6Mn23,455.0
Ba1Sc0.5Fe11.5O19,693.0
V0.03Sb1.97Te3,24.0
Cr2CoS4,235.0
Gd1Fe0.6Co0.4Si1,70.0
Pr13.7Zr0.1Fe63.5Co16.7B6,738.0
Yb1Mn6In1.2Sn4.8,129.0
Li(MnSn)6,380.0
Co2SnO4,340.0
Fe2SnO4,390.0
CeFeO2,300.0
Fe3BP,723.0
FeSi,945.5
La2MnCoO6,225.5
Co4N,927.0
CuSeO3,26.0
MnInAs,40.0
Zn0.8Cr0.2Te1,300.0
MnZn(FeO2)2,573.0
Nd0.2Fe1Bi0.8O3,1104.0
Mn0.05Si0.95,187.5
Fe2CoSi,811.5
ErAl2,13.5
Nd(TiFe)12,508.0
Nd2Si3Pd,16.0
Nd5Al2Fe6Co6B,680.0
Sr2FeReO6,400.5
Mn2Ga0.5Sn0.5,262.0
Mn1.7Ga0.5Sn0.5,283.0
Mn1.5Ga0.5Sn0.5,284.0
Mn1.2Ga0.5Sn0.5,304.0
CoSiB,443.0
AlCrFe2,279.5
VTeSe,415.0
VTeS,280.0
VSeS,320.0
Sm2FeCo,1138.0
PrSi2,11.5
Pr3Si4,102.5
PrSi,52.5
Pr5Si4,39.0
Gd5Si3Sb,164.0
Gd5Si3.5Sb0.5,336.0
Eu7Cu44As23,21.15
Sr0.5Nd0.5Mn1O3,251.5
Cr2CoO4,96.5
Sr2CrReO6,622.5
NdCoSiH,20.5
CrI2,300.0
Ce2Pr2Fe14B,509.0
FeCoSiB,673.0
LaFeMoO6,500.0
Pr2Fe17,289.0
MnAlCu2,603.0
La2MnNiO6,277.5
Y3Co13B2,636.0
MnAlVCo,105.0
Mn2Al1V0.5Co0.5,671.0
Pr2AlFe16,356.0
Mn2CoSb,485.0
Ca0.3La0.7Mn1O3,250.0
Pr2Fe14B,569.0
La2Fe14B,516.0
Fe2P,217.0
Mn(FeO2)2,572.0
Ce5CoGe2,11.0
TiCrCF2,1132.9
Sm2Zr17Fe17(CoCu)17,1123.0
Gd5(SiGe)2,276.0
Mg(FeO2)2,695.0
ZnCo3C,5.0
ZnFe3C,358.0
Ca2CrReO6,360.0
LaFeCoSi,306.0
Fe5B2P,655.0
ZrFe2,492.5
Zr3Fe7,215.5
Zr5.8Nb1Fe85.4Cu1B6.8,354.0
Zr6.8Fe85.4Cu1B6.8,368.0
GdZn2,76.5
NdZn2,24.0
Gd39Dy17(Al6Co5)4,76.0
Gd21Dy7(Al6Co5)2,81.5
CrO2,391.0
PrCoO3,65.0
LaCoO3,85.0
CaMn4(CuO4)3,355.0
LuMn4(CuO4)3,398.0
Fe2GeO4,630.0
Fe3Ge,755.0
Dy3Co2.2Si1.8,75.0
Sr0.25La0.75Mn1O3,336.0
Ca0.25La0.75Mn1O3,223.0
Mn5Sn3,219.0
Mn4FeSn5,190.0
Fe5Sn3,544.0
Gd0.95Er0.05,284.7
Gd0.95Dy0.05,287.5
MnNi2Sn,340.0
Ho26Ga8Co9,16.0
Dy26Ga8Co9,28.0
Tb26Ga9Co8,74.0
Tb26Ga11Co6,76.0
Gd26Ga8Co9,124.0
Zr2Fe22B,280.0
Nd3Al,74.0
FeTe2,286.5
LaMnO3,95.0
Sr0.2La0.8Co1O3,180.0
Er(FeGe)6,3.0
Gd(FeSn)6,45.0
Sr0.34La0.66Mn1O3,370.0
Sr2Fe1Mo1N0.111O0.889,300.0
LaCo5,833.0
Nd7Ni3,14.0
FeCoB,960.0
Gd30Al7Co13,118.5
Mn13Ga7,680.0
Mn3Ga,726.5
Ho5Si4,76.0
DyNi,59.0
Gd(CrFe5)2,582.5
FePt3,380.0
Nd2Fe14C,538.0
MnAlCo2,742.0
Nb23Fe23B6,900.0
Fe2B,1009.0
MnSi,30.0
TiCo2Sn,370.0
TiCo2Ge,380.0
MnAl,650.0
Mn48.835Al48.835C2.33,590.0
CrFe7SiB,403.0
Sm0.9Zr0.1Ti1Fe11,345.0
SmTiFe11,584.0
CeAlNi,2.0
CeAlAu,4.0
CeNiSb,4.0
Zn0.98Fe0.02O1,300.0
V2(FeCo)49,1253.0
Pr6Fe13Si,398.0
NiCl2,116.0
NiBr2,173.0
Ba0.33La0.67Mn1O3,344.0
Co3O4,37.5
GdSiNi4,25.0
GdNi5,33.0
DySiNi4,22.0
DyNi5,11.6
Ti0.95Fe2.05Sn1,120.0
UFe2,170.75
U2Fe3Ge,55.0
MnGaCo2,776.0
MnCo2Ge,917.5
MnCo2Si,992.5
La1Fe11.2Co0.7Si1.1,274.0
La1Fe11.4Si1.6,202.0
TbCoC,22.0
U2Ni12P7,29.0
U(Ni2P)2,21.0
MnCoGeRh,844.0
CrFeCoSb,360.0
CrFeCoAs,378.0
TiAlCrRh,385.0
Fe78.5Si6Ni1B14Mo0.5,635.0
Fe76.2Si6Ni3.8B14,665.0
Fe40Si3B7,649.0
Ca0.33La0.67Mn0.98O3,264.0
La7Pr0.3Fe10.4Co0.8Si1.8,290.0
La7Pr0.3Fe11.2Si1.8,203.0
La1Fe11.2Si1.8,162.0
PrGa3Cu,4.6
Sr0.4Pr0.6Mn1O3,306.0
Sm2Fe17N3,748.0
LiFe5O8,865.0
Sr0.3La0.7Mn1O3,351.5
La6InCo13,490.0
FePd,750.5
CoS2,121.0
Dy2(FeMo)17,77.0
EuS,16.6
ZrCo5,780.0
Mn0.06Ge0.94,285.0
Mn0.03Co0.12Ge0.85,270.0
Fe0.05Ge0.95,233.0
HoTiCo11,983.0
Sm(MnGe)2,345.0
MnP,291.2
Sr0.2La0.8Mn1O3,323.0
MnFe4Si3,300.0
Fe5Si3,375.0
Li0.5Fe2.5O4,1203.0
Mn0.04Fe0.02Ge0.94,350.0
Eu2Ga3.4Ag13.6,70.3
Ho2In,100.0
Dy2In,125.0
FePt,753.0
Sm1Al0.22Fe1.78,600.0
Sm1Al0.3Fe2.7,590.0
Sm6Al3.22Fe19.78,480.0
Pr5Si3Ge,47.0
CeZn15O16,305.0
Cr7Te8,360.0
CrTe,342.0
Cr12Te13,342.0
Cr5Te6,320.0
Cr5Te8,262.5
Cr2Te3,175.0
CrTe2,129.5
YFeO3,526.5
MnFe2Si,217.0
CePRuO,15.0
CoSi,240.0
MnCo,1035.0
MnGaP,270.0
La1Al1.3Fe10.7523Co0.9477,311.4
UGe2,52.0
Fe47.4Si11Ni26.6B13C2,682.0
DyCr2Si2C,10.7
GdCr2Si2C,10.9
TbCr2Si2C,16.6
Er6CoNi3,11.5
UAlIr,64.0
UAlRh,27.5
Mn1.1Fe0.9As0.3P0.7,150.0
Mn1.1Fe0.9Ge0.3P0.7,380.0
Mn1.1Fe0.9P0.7,150.0
Fe2CuO4,686.5
Nd2Fe10Co4B,800.0
TiFeSi2,917.0
TiFeSi,728.0
Mn(SbTe2)2,47.5
NdTiFe11,546.5
NdFe7,498.0
Nd2Fe17,329.0
Gd13Fe7,273.0
Dy13Fe7,45.0
Er13Fe7,40.0
Tb3Al2,133.5
Mn2NiSb,647.0
Mn2NiSn,547.5
GdInPd,101.75
ErAl7Fe5,201.0
FePS3,115.0
Fe5GeTe2,300.0
La0.9Ce0.1Fe11.7Si1.3H1.8,345.0
La0.9Ce0.1Fe11.7Si1.3H2.2,20.0
HfFe2,605.0
Ho2Fe14Si3,240.6
Ho2Fe17,330.0
SrFe12O19,745.0
Y2NbFe13B4,364.0
Y9HfNb5(Fe13B4)5,360.0
Co0.95Pd0.05,300.0
GdNi,88.0
Gd3Ni2,99.0
Gd3Ni,120.5
Gd3Co11B4,457.0
Pr3Co11B4,389.0
Ni94.8Mo5.2,318.0
Cr(GaSb)2,548.5
Mn(GaSb)2,310.0
SmCuNi3B,60.0
SmCoNi3B,90.0
SmFeNi3B,320.0
SmMnNi3B,205.0
Sr2CoO4,127.5
TbAl2,105.0
DyAl2,62.0
Gd3Fe,244.0
Gd3Co,136.5
MnFeCoSi,691.5
Mn0.3Ge0.7,773.0
Ca0.3La0.7Mn0.95Ni0.05O3,255.0
Ca0.3La0.7Mn0.99Ni0.01O3,280.0
ErCo2,33.0
Er1Mn0.6Co2,212.0
ErMnCo2,222.0
Ca2FeMoO6,365.0
Mn0.65Zn0.35Fe2O4,463.0
Cr3C2,83.0
Mn(CrS2)2,66.0
Cr2Ga0.67S4,56.0
Er2CdCu2,42.25
Dy2CdCu2,36.0
Gd2CdCu2,120.0
Tm2InCu2,30.8
CeGaGe,5.5
Nd8.5Zr2.7Ga0.6Fe77Co5B6.2,595.0
Ba2SmNb4FeO15,393.0
Co2Pt3,755.0
Gd1.965Er0.035,288.2
Fe3RhN,505.0
GdN,61.0
Er2Ti3Si4,7.0
Tb2Ti3Si4,16.0
Gd2Ti3Si4,18.0
Nd2Si3Pt,17.5
Ce1Al1H1.1Pt1,11.6
MgCo2,321.0
TaFeCoB,583.0
FeCoMo,491.0
Eu3Si11Pt23,5.5
FeNi3,863.0
U2Co15Ge2,645.0
Lu2MnCoO6,48.0
NiGeRh2,113.0
Dy3(FeMo)29,408.0
Tb3FeMo,437.0
Mn21.8Ga21.8Ni56.4,355.0
Mn29.6Ga21.4Ni49,365.0
Ca0.33La0.603Dy0.067Mn1O3,176.0
GdAl2,167.5
CsMnI3,90.0
Gd10Co9Si,214.0
Gd25Co24Si,244.0
Nd1.35Ti0.6Fe11,1373.0
Nd2(TiFe)17,395.5
Mn1.2Sn1Ir1.8,342.0
Co2SiRu,491.0
TbFeNi4,280.0
TbCoNi4,60.0
Mn2AlCu,690.0
Sm1Ti1Fe9.9Co1.1,705.0
1La1Fe1.2Mo0.8O6,300.0
Fe4Bi2O9,250.0
Fe3S4,858.0
UGa2,125.0
TbAl7Fe5,242.0
Tb0.2La0.8Ni2,36.0
La0.8Dy0.2Ni2,6.2
DyNi2,23.9
La0.6Ho0.4Ni2,5.05
SmFe5,400.0
Ce(MnGe)2,320.0
Zn0.5Fe2Ni0.5O4,559.0
ZnNi,833.0
Gd3Al0.75Co3.25,161.0
Gd3Al0.5Co3.5,196.0
MnBiO3,101.0
Ca0.2La0.8Mn1O3,206.75
Zn(FeO2)2,669.0
Gd97In3,259.0
YFe2,542.5
LiMnZn,52.5
Sr1Co1O2.5,150.0
Ti2Cr2C3O2,720.6
VCr2(CO)2,77.0
V2Cr2C3O2,246.8
Sr33La0.67Mn1O3,370.0
Sr0.25Ca0.25Nd0.5Mn1O3,174.0
TbPr7Fe28Co10BC3,736.0
TbPr7Fe38BC3,589.0
Ba0.3La0.6Pr0.1Mn1O3,215.0
Nb4Fe74Si13B9,568.0
Fe78Si13B9,664.0
Y2Fe14B,526.5
Fe87B13,488.0
NdCo9Si4,536.0
SmFe7,533.0
TiMn26Al23,743.0
Cr2HgSe4,110.0
Fe3Ni2,620.0
Tb2Co17,1190.0
Na0.1Nd0.9Mn1O3,112.0
Nd(Co2B)6,157.5
Ce(Co2B)6,130.0
Zn0.2Fe2Ni0.8O4,758.0
V(GeP2)2,90.0
VSnGeP4,110.0
VGe2P3N,380.0
La2MnIrO6,130.0
CeB2Rh3,117.5
La1Fe11.57Si1.43,190.0
Co0.1Pd0.9,350.0
Co0.08Pd0.92,315.0
Co0.04Pd0.96,220.0
Fe2O3,712.5
Sr0.35La0.65Mn1O3,372.5
MnB6I,470.0
MnB,456.0
Y4Co31B15,211.0
Sr0.19La0.81Mn1O3,302.0
Ca2CrOsO6,490.0
Ba2NiOsO6,108.0
Mn2CuO4,90.0
Gd1Mn0.4Ni2,190.0
GdNi2,77.0
Gd1Mn0.5Ni2,230.0
PuNi3,266.0
Gd0.6Ho0.4Co2,300.0
Er15(B2C7)2,50.0
Dy15(B2C7)2,120.0
Tb15(B2C7)2,145.0
NiAs,306.5
CrFe2Si,575.0
PrCo2,39.9
Zr2Co11,764.0
Sm3Ti1.943Fe27.057,486.0
DyAlNi4,11.0
ZnNi3N,300.0
Sr0.2Pr0.75Mn1Bi0.05O3,150.0
YCo3,294.0
SrCoO3,266.0
Ca0.33La0.62Y0.05Mn1O3,210.0
Sr0.2La0.77Y0.03Mn1O3,261.0
CrSb,400.0
Al2CrFeCoNi,430.0
DyCo4,700.0
TmFe2,550.0
Fe4Ni,961.0
Mn4N,741.5
Nd5(FeB3)2,70.0
MnPS3,37.5
Pr2Co7,600.0
Mn5Si3,250.0
MnSb,582.5
Fe3C,484.0
Nd2Fe17H3,85.0
HoAlAg,18.0
ErAlAg,14.0
MnAlCrFeCoNi,823.0
TbMnFeO5,77.0
CrFeSiRu,346.0
Gd1Nb0.6Fe11.4,597.0
Co3Sn3Se2,60.0
MnI3,720.0
MnF3,450.0
Mn3P,550.0
Mn2GaNi,588.0
PrC,480.0
Na0.05Ca0.15La0.8Mn1O3,253.0
Mn7Ni10Sn3,334.0
FeMoO6,260.0
PrCo5,1178.0
Nd2Fe17C,470.0
Fe75Co75Si7(B5P)3,764.0
Sr1.8La1.2Mn2O7,130.0
U0.74Mo0.26H2.22,165.0
Fe3W3N,110.0
Fe1.25Mo3Pt0.75N1,225.0
Mn2Sb,550.0
MnVGaCo,351.0
SmFe3,648.0
Sm2Fe17,416.0
SiNi2,200.0
Fe8N,815.0
Ca0.4La0.6Mn1O3,250.0
CaFe16Cu2O27,683.0
HoCo2,76.0
Dy0.5Ho0.5Co2,109.5
Dy0.9Ho0.1Co2,130.0
Ho2TiMnO7,7.5
Dy2TiMnO7,7.6
Sm2Cr2Fe11(Co2C)2,375.0
Mn0.4Al0.4Zn0.6Fe1.6O4,314.6
Mn0.6Al0.4Zn0.4Fe1.6O4,349.8
Sm(TiFe)7,686.5
Sm3(TiFe)29,476.0
Fe1Co1Cu0.2Si0.2Ni1,887.0
CrGaFeCoNi,476.5
AlCrFeCoNi,353.5
MnCrFeCoNi,41.0
CrFeCoNi,104.0
CeY9,2.0
GaFe3Te2,380.0
La2Nd2Fe23B3,649.0
ZnTe2Pt,40.5
Nd6Fe13Pd,173.0
BaMnF4,300.0
Tb(MnSn)6,423.0
Y(MnSn)6,333.0
Sr0.4La0.6Mn1O3,400.0
FeAg,853.0
Cr1Sb0.4Te0.6,250.0
Al1.2Fe2B2,272.0
Mn6Al4CoNi9,300.0
Cr1.1Fe1.9O4,557.0
Ga0.8Fe0.2Sb1,170.0
In0.8Fe0.2Sb1,190.0
GaFeSb,170.0
GaFeO3,200.0
GdBr2,229.0
GdCl2,224.0
GdI2,231.0
Gd(BN)2,335.0
EuSi2(NO)2,4.5
Eu2Si5N8,24.0
Eu2SiN3,13.0
SmFeN,750.0
MnCrFeSiBMoPC,552.0
Tm(CrFe5)2,466.0
CrFeCoNiPd2,503.0
La0.67Mn1Pb0.33O3,360.0
Mn0.8Ni2.2Ge1,151.0
Mn0.9Ni2.1Ge1,246.0
Ca0.12Nd0.88Mn1O2.98,82.0
Mn2AuN,1516.0
La1Al1.56Fe11.44H3.2,438.0
LaNiPO,4.0
LaCoPO,43.0
LaMnPO,375.0
La0.8Mn1Ag0.2O3,278.0
NdCu5,15.0
Mn0.3Fe2Co0.7O4,754.0
Sm2Co14B,1008.0
Sm2Co19B4,165.0
Fe2.9Sn0.1O4,300.0
Zn0.9Fe2.1O4,366.0
Zn0.75Fe2Ni0.25O4,340.0
Cr0.01Ge0.99,126.0
Ce2Co7,50.0
LaCeCo7,260.0
MnCuSb,51.0
MnNi2Sb,350.0
Tb37(Gd20Ga)3,297.0
Tb2Gd3,270.0
LiMn2Sb,1193.0
LiMn2As,1289.0
FeAu4,290.0
Fe19Ni81,833.0
Li1Mn1.5Ni0.5O4,145.5
Al1Fe1Co1Cu1Ni0.5,900.0
Li0.4Zn0.2Fe2.4O4,779.5
Nd5Fe17,504.0
ErFe3,552.0
UCu2,725.0
TbCo2,229.0
FeCoBP,791.0
MnFe12Ni7,300.0
Gd71Co29,166.0
CeScSi,349.0
LaFe13Si13H,299.0
LaCo13,1297.0
Gd2Al,114.0
NdCo2,573.0
Gd0.67Zr0.33,60.0
Th2Ni17,498.0
Dy3(TiFe)29,438.0
Nd3(TiFe)29,437.0
La0.85Co1.68As2,99.4
Y(Co2B)6,150.0
TiCoSb,900.0
Mn1.04Sb0.98Rh0.98,338.0
MnSbRh,320.0
MnCo2Sn,982.5
Nd3(FeMo)29,395.0
Zn0.94Fe0.05Cu0.01O1,550.0
Sm0.99Gd0.01Al2,124.0
FeCoNi,993.0
Mn3Sn,265.0
GdCuO3,760.0
Gd4Co3,213.75
Er3(AlNi3)2,7.7
Ho3(AlNi3)2,14.5
Fe3Se4,322.5
Ce0.12Ni1.88,40.0
TmNi2,13.5
ErNi2,18.5
TbNi2,40.0
Tm57Al25Cu18,4.9
Nb9Co66Cu(SiB)12,175.0
Sm1Co6.1Si0.9,718.0
TbFe,705.0
ThMn12,589.5
Th1Fe0.22Sn2,4.2
Th4Fe13Sn5,375.0
MnNi2Ge,300.0
Ce2.6Nd10.4Fe82B5,556.0
Mn5SiGe2,283.0
Mn4FeSiGe2,318.0
TbCu7,461.5
Hf6Co23,611.5
LiMnZnAs,50.0
Gd15Al7Fe3,10.0
V1.35Fe1.65O4,295.0
YCo4Ge,502.0
Fe9Co16,1212.0
Fe67Co33,1258.0
Nd7Nb4Fe70B19,943.0
Nd7Gd2Nb4Fe67SiB19,958.0
Fe3.5Co64.3Si16.5B11W4.7,473.0
CoS,404.0
HoN,14.5
Y(Co5Si)2,750.0
Mn44Fe5(Ni15Sn2)3,301.0
Hf6.5Fe15Co51B27,527.0
Zn0.7Fe2Co0.3O4,370.0
Zn0.6Fe2Co0.4O4,341.0
Zn0.63Fe2Co0.37O4,319.0
YbGePt,4.7
YbGePd,11.4
(CoSe)2,78.0
Fe75Si8Ni2B13C2,683.0
Tb6Co1.67Si3,178.0
Gd6Co1.67Si3,298.0
GdCo4Si,450.0
Ce2GeRh3,4.0
TmCrO4,18.0
ErCrO4,15.0
Ce17Nb0.5Ga0.5Fe76.5Cu0.5B6,421.8
Ce17(Fe13B)6,431.15
La0.89Mn1O3,282.5
Dy(P3Os)4,2.0
Sm6Fe23,416.0
Fe2B0.7C0.3,698.0
La1Fe11.44Si1.56,200.0
Mn2AlV,760.0
GdCu4Ag,10.0
AlFeCo2,1179.5
Pr2Co14B,1000.0
Pr2Co17,1174.0
Gd5Si4,336.0
NiO,627.0
AlCrCo2,320.0
Sm2Fe17C2.6,670.0
YCrO4,9.0
YMnFe,125.0
YMnFeH5,293.0
MnO3,80.0
CoNi,826.5
Mn25Ga23Ni52,360.0
Al(FeB)2,283.0
Pr(GeRu)2,16.0
Ce3Co11B4,265.0
Ca0.7La0.3Mn2Ge2,80.0
La(MnGe)2,320.0
CrBr3,86.0
Fe3P,725.0
Fe1.8Co0.2Si0.2P0.8,480.0
Fe1.75Co0.2Si0.2P0.8,480.0
Fe7Se8,382.0
Zr(Fe5Si)2,598.0
Zr6Fe23,821.0
GdFe2Co2B,770.0
GdCo4B,505.0
Al0.04Zn0.85Ni0.11O1,300.0
La0.67Mn1Ag0.15Pb0.18O3,288.0
La0.67Mn1Ag0.1Pb0.23O3,316.0
In(FeO2)2,250.0
Nd(MnGe)2,334.0
UGeRh,9.5
CrN,440.0
Fe7Pd3,763.0
Ti2FeSn,475.0
Ti2FeGe,354.0
U(GaFe)6,515.0
GdMgNi4,77.6
SmCrO4,3.5
Y1Fe10Si2N0.5,673.0
Sr0.75Gd0.25Fe12O19,736.0
Fe3Ni,950.0
FeNi,1223.0
Mn2GaPt,230.0
Mn2SnPd,411.0
Ho0.5Er0.5Co2,50.0
Ho0.9Er0.1Co2,72.0
Mn4Si7,43.5
GdAlRh,29.9
LaAlRh,2.4
MnAlCoIr,400.0
HoNi3,58.5
Tb6Fe23,586.0
TbFe2,695.0
MnGaCoNi,584.0
Mn1Ga1Fe0.5Co0.5Ni1,657.3
MnGaFeNi,321.8
Mn1Co0.25Sb1,325.0
Mn1.25Sb1,314.0
Zn0.54Cr0.65Fe1.35Co0.46O4,328.0
Zn0.54Cr0.6Fe1.4Co0.46O4,318.7
Mg1.37Ti0.37Fe1.26O4,319.0
YTiFe11,534.0
Ga19Fe81,970.0
Gd3Si2Ni,215.0
Zr7Fe43CuNi43B6,646.0
Zr7Fe86CuB6,337.0
MnCoSn,670.0
Sm0.5Gd0.5Co2,300.0
GdFe11,608.0
GdTiFe11,634.0
MnCoAs,350.0
Sm2Fe16Si1C2.7,660.0
Lu1Fe11.3W0.7,490.0
Nd1Mn1.4Co0.6Ge2,100.0
Ho0.75Er0.25Ni2,12.3
Ho0.25Er0.75Ni2,8.0
SmNi4B,39.0
GdNi4B,36.0
Gd34(AlNi)33,38.0
Pr2Fe14BN,35.0
Ca2FeReO6,540.0
Dy0.7Er0.3Co2,106.0
Sr0.4La0.6Co1O3,235.0
Mn0.2Zn0.8Fe2O4,329.5
GdRu1222,94.0
Nd2Fe14Co14B,607.75
Tb0.26Gd0.74,276.0
Fe69Si31,780.0
Cr(FeO2)2,553.0
Ba1Sc0.6Fe11.4O19,638.0
Gd0.1Y0.9Fe2H3.35,310.0
MnBPbO4,30.3
Nd6AlFeCo2,492.0
Gd6FeBi2,350.0
Gd6CoBi2,130.0
Gd6CoTe2,220.0
SmFe12,707.0
SmFe,635.0
Tb2Fe17,416.0
Sr0.5La0.5Co1O3,70.0
Zn0.5Fe2Co0.4Ag0.1O4,533.0
Sr0.4Nd0.6Mn1O3,264.5
MnGaN,400.0
Cu27.5Ni72.5,318.0
Nd12Co6Pb,194.0
UNi2,23.0
Y3CrFe,410.0
Y2Cr2Fe15,368.0
Dy5(In2Ni)2,105.0
MnN,368.0
Mn0.15Bi1.85Te3,45.0
Gd55Al18Zn2Ni25,84.0
InNi2,473.0
Lu3Co7.77Sn4,63.0
Dy2MnCoO6,88.0
Sm2MnCoO6,123.0
Gd3Al2Ni6H8.6,69.0
GdCoC,16.0
Fe0.05Sn0.95O2,360.0
La1Fe10.84Co0.66Si1.2Ni0.3,294.0
La1Fe10.94Co0.66Si1.2Ni0.2,285.0
La1Fe11.04Co0.66Si1.2Ni0.1,272.0
Sr1Mn0.5Ir0.5O3,110.0
Tb3(CrFe)29,477.0
GdMg,110.0
Ca1.6La1.4Mn2O7,172.0
Nd13Dy2Fe77(BC3)2,590.0
CoSiNi2,900.0
